Simulation number	Chl-a (ug/l)	TSM (mg/l)	a400 (1/m)	a_tot_443 (1/m)	a_ph_443 (1/m)	a_cdom_443 (1/m)	a_tsm_443 (1/m)	a_w_443 (1/m)	b_tot_443 (1/m)	b_tsm_443 (1/m)	b_w_443 (1/m)	S3400	S3412.5	S3442.5	S3490	S3510	S3560	S3620	S3665	S3673.75	S3681.25	S3708.75	S3753.75
3433	6.21	1.49	6.29	3.4537	0.16572	3.1612	0.11968	0.007046	1.4203	1.4165	0.0037518	0.000144818	0.000167648	0.000242591	0.000461886	0.000601394	0.001142503	0.001243964	0.001008501	0.000956259	0.000936337	0.000657291	0.000208842
3434	4.6	1.63	6.15	3.3605	0.13167	3.0909	0.13092	0.007046	1.5534	1.5496	0.0037518	0.000159892	0.000185608	0.000270229	0.000517714	0.000674772	0.001283568	0.001399091	0.001140275	0.001086952	0.001061939	0.000722758	0.00022835
3435	7.3	1.74	14.76	7.7525	0.18759	7.4181	0.13976	0.007046	1.6579	1.6542	0.0037518	7.20E-05	8.39E-05	0.000123334	0.000238862	0.000314219	0.000622177	0.000950987	0.000955457	0.000930821	0.000929697	0.000713673	0.000240714
3436	15.9	1.63	6.15	3.5695	0.34069	3.0909	0.13092	0.007046	1.5534	1.5496	0.0037518	0.000155871	0.000179069	0.000254415	0.000477267	0.000620736	0.001183951	0.00123042	0.000958315	0.0008851	0.000870956	0.000705284	0.000228188
3437	3.35	1.26	10.46	5.4685	0.10325	5.257	0.1012	0.007046	1.2016	1.1979	0.0037518	7.78E-05	9.03E-05	0.000131763	0.000252443	0.000329936	0.000639069	0.000868857	0.000809961	0.000788531	0.000777151	0.000539733	0.000176
3438	2.63	1.59	15.17	7.8447	0.085775	7.6241	0.12771	0.007046	1.5153	1.5116	0.0037518	6.53E-05	7.62E-05	0.000112419	0.000218131	0.000286784	0.000566805	0.000890012	0.000928762	0.00092095	0.000916726	0.000655716	0.000220053
3439	9.6	1.68	8.61	4.7006	0.23141	4.3272	0.13494	0.007046	1.6009	1.5971	0.0037518	0.000117514	0.000136259	0.000197848	0.000378598	0.00049539	0.00096114	0.001186315	0.001019758	0.00096615	0.00095395	0.000721608	0.000234422
3440	5.7	0.96	8.61	4.5666	0.15518	4.3272	0.077108	0.007046	0.9164	0.91265	0.0037518	7.59E-05	8.74E-05	0.000125492	0.000236047	0.000306555	0.000582909	0.000716472	0.000622485	0.000596327	0.000586479	0.000417243	0.000135147
3441	3.1	1.02	8.61	4.5135	0.097294	4.3272	0.081928	0.007046	0.97344	0.96969	0.0037518	7.98E-05	9.23E-05	0.000133521	0.000252993	0.000328923	0.000626536	0.000781773	0.000691405	0.000668963	0.000655724	0.000445219	0.000143416
3442	5.35	1.22	10.46	5.5099	0.14783	5.257	0.097992	0.007046	1.1636	1.1598	0.0037518	7.55E-05	8.76E-05	0.000127194	0.000242681	0.000317007	0.000613508	0.000824969	0.000758316	0.000732665	0.00072379	0.000520575	0.000170475
3443	9.3	1.8	11.07	5.941	0.22585	5.5636	0.14458	0.007046	1.715	1.7112	0.0037518	9.78E-05	0.000113694	0.000166251	0.000320423	0.000420657	0.000826132	0.001131139	0.001039498	0.000994728	0.000987316	0.000758228	0.000250213
3444	6.9	1.86	6.15	3.427	0.17966	3.0909	0.1494	0.007046	1.772	1.7683	0.0037518	0.000177301	0.000205642	0.000298682	0.00057194	0.000746559	0.001427953	0.001550033	0.001250811	0.001182996	0.001159218	0.000821773	0.000260333
3445	14.1	3.25	12.3	6.7605	0.31071	6.1817	0.26104	0.007046	3.0935	3.0897	0.0037518	0.000146874	0.00017154	0.000252886	0.000493163	0.000651216	0.001304329	0.001861785	0.001740604	0.001653615	0.001649238	0.001362096	0.00045178
3446	3	1.26	7.38	3.9122	0.094881	3.709	0.1012	0.007046	1.2016	1.1979	0.0037518	0.000109388	0.000126878	0.000184585	0.000352416	0.000458816	0.000873475	0.001029327	0.000880221	0.000848358	0.000829031	0.000554552	0.000176756
